2019-08-28 08:28:01,554 [1] INFO  MainLog [(null)] - Logger MainLog initialized successfuly. Using configuration file C:\Users\cech.jiri\Documents\Visual Studio 2017\Projects\AppInfra\InfraEasySetup\bin\Debug\MainLog.log4net.
2019-08-28 12:11:05,592 [1] DEBUG MainLog [(null)] - 10.1.15.52, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 12:11:05,593 [1] DEBUG MainLog [(null)] - ConnectAC, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 12:11:05,595 [1] DEBUG MainLog [(null)] - 10.1.15.103, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 12:11:05,596 [1] DEBUG MainLog [(null)] - ConnectAC, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 12:11:05,597 [1] DEBUG MainLog [(null)] - 10.1.15.108, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 12:11:05,598 [1] DEBUG MainLog [(null)] - ConnectAC, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 12:11:05,599 [1] DEBUG MainLog [(null)] - 10.1.15.124, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 12:11:05,600 [1] DEBUG MainLog [(null)] - ConnectAC, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 12:11:05,602 [1] DEBUG MainLog [(null)] - 10.1.15.110, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 12:11:05,603 [1] DEBUG MainLog [(null)] - ConnectAC, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 12:11:05,605 [1] DEBUG MainLog [(null)] - 10.1.15.106, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 12:11:05,606 [1] DEBUG MainLog [(null)] - ConnectAC, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 12:11:05,607 [1] DEBUG MainLog [(null)] - 192.168.0.5, Calling method:AppJCE.Vypis.Debug (line 19)
2019-08-28 12:11:05,608 [1] DEBUG MainLog [(null)] - ConnectAC, Calling method:AppJCE.Vypis.Debug (line 19)
